                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      CPU32      CPU33      CPU34      CPU35      CPU36      CPU37      CPU38      CPU39      CPU40      CPU41      CPU42      CPU43      CPU44      CPU45      CPU46      CPU47      CPU48      CPU49      CPU50      CPU51      CPU52      CPU53      CPU54      CPU55      CPU56      CPU57      CPU58      CPU59      CPU60      CPU61      CPU62      CPU63
          HI:          8          0          0          0          0          0          0          0          0          0         0          0          0          0          0          0          0          0          0          0          1          1          0          0          0          0          0          0          0          0          0          7          0          0          0          4          1          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:    2195228    3109221    3105828    3332843    4425918    4179752    3637978    3557697    4180452    4521460   4492079    4400984    4353012    4407030    5135461    4205293    3974191    4755457    3882866    3919193    4827018    3927211    3524390    4722469    4636795    4510866    3538029    3754732    4445383    4527215    3952845    3661707    3791308    4176928    3764016    3897018    4517895    5063753    2888269    3219085    3494724    3968131    3651823    3712809    3925344    3514541    3684025    3436504    3200536    3356013    3167422    2896809    4259504    3020430    4328747    3722790    3636907    4453706    3621575    3638461    3840611    3565730    3222393
      NET_TX:          9          7          9          9          9         11         10          9         11         15        12         16         12         88         13         16         10         12         12         14         22          7         11         20         17          8          9          5         11          8         10         10         16         13         11         13         10          7          9         10         11         14         30          7         16         17         11         14         10          8         11          9         13         13         12         14         15        124         10         12         12         15          7
      NET_RX:      17273      54236   12970156     465727     153103     271186     128192     159741      82234     432560   1468535     152099     123007    2472726    1369536     208694    3299387     528702      76782      61209    2266028     146318     134904     265703     130155     312525     155381     124321     141344     358133     164451      99727      71314   13097731      61967     115014     382100      45880     162035     220300     348785     271294    1049968     146377     384000     197866     331405     237279     153205     151846    3228584     146532    3311943     112710    6492542     122592     130705    4122359     188034     262262     267538     217137     141775
       BLOCK:      57274     130540     131698     116232      27109      48453      16636      16763     102282      95226     65783     105020     126361      99958      78856      83372      88446     102086      58749     122812     133679     116801      87603     147096     139239     119376      75470     122290     111902      88164      76982      90050      78414      53690      48565      17695      18572    1566806       9035      45390      43363      43217      42190      93872      43157      76233      63880      79490      79334      60785      49662      72003      74227      56071      60721      64682     116148     124334      79158      52843      64838     310260      35476
    IRQ_POLL:          3          0          0          0          0          0          0          0          0          0         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         89        169        764        788       2147        615        809        989        290       4766      4336        233        509      15775        702       1659       1125       1012        275        153       5726        898        901       3479       1067       3933        994        344       1174       1807        737        459        506       3778        231        718       2781         36       1352       3052       4038        256       7775        740       4160       1196       3048       2973        766        924        911        896       5233        241        849        886       1545      42656       2712       2259        290        237        454
       SCHED:   13153935    3504663    3390970    3425827    4149507    4634088    4063696    3890216    4438781    4890619   4757456    7913309    4864716    4742204    9450523    4877949    4508820    5216397    4380128    4364552    5149903    4332560    3884008    5249095    5178736    5074653    4150843    4710012    5431945    5293213    4936893    3792488    3954485    4310499    3935437    4155957    4743797    5320062    3272785    3344579    3782460    4087004    3775952    3903263    4265125    3858414    4075554    3966913    3737331    3823736    3673082    3203348    4552807    3368528    4571751    4253197    4118260    4931573    4122890    4579408    4749863    4443560    4194553
     HRTIMER:          0          0          0          0          0          0          0          0          0          0         0          0          0          7          0          0          0          0          0          0          0          0          0          0          0          0          0          0          2          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1          3          0          4          0          0          0
         RCU:    1591878    1716810    1845998    1763874    1672544    1729681    1810321    1738816    1753364    1778025   1685885    1564031    1558563    1452659    1086437    1011503     981248    1045757     966497     961440    1046306    1004066     912218    1168906    1130733    1132793     987170    1017179    1102951    1104258    1062439    1704411    1719309    1851185    1788848    1769095    1592198    1972685    1665809     784403    1450103    1471939     824134    1376067    1335637     946274     953359     949912     903072     936419     934429     832842     969924     836107     970581    1051010    1042501    1162051    1017409    1044538    1047183    1031914    1005321
